Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
1163	Anabaena	46234	Anabaena sp 90	species	"NC_019427.1,NC_019439.1"
1158	Oscillatoria	56110	Oscillatoria acuminata PCC 6304	no rank	NC_019693.1
43773	Syntrophus	56780	Syntrophus aciditrophicus SB	no rank	NC_007759.1
32012	Thiomonas	75379	Thiomonas intermedia K12	no rank	NC_014153.1
551759	Aromatoleum	76114	Aromatoleum aromaticum EbN1	no rank	NC_006513.1
279	Xanthobacter	78245	Xanthobacter autotrophicus Py2	no rank	NC_009720.1
33057	Thauera	85643	Thauera sp MZ1T	species	NC_011662.2
896	Desulfococcus	96561	Desulfococcus oleovorans Hxd3	no rank	NC_009943.1
1177	Nostoc	103690	Nostoc sp PCC 7120	species	NC_003272.1
482	Neisseria	122586	Neisseria meningitidis MC58	no rank	NC_003112.2
36853	Desulfitobacterium	138119	Desulfitobacterium hafniense Y51	no rank	NC_007907.1
162171	Magnetococcus	156889	Magnetococcus marinus MC-1	no rank	NC_008576.1
399320	Sphaerochaeta	158190	Sphaerochaeta pleomorpha str Grapes	no rank	NC_016633.1
73029	Dechloromonas	159087	Dechloromonas aromatica RCB	no rank	NC_007298.1
1218	Prochlorococcus	167546	Prochlorococcus marinus str MIT 9301	no rank	NC_009091.1
2295	Desulfobacterium	177437	Desulfobacterium autotrophicum HRM2	no rank	NC_012108.1
133193	Alkalilimnicola	187272	Alkalilimnicola ehrlichii MLHE-1	no rank	NC_008340.1
133	Methylocystis	187303	Methylocystis sp SC2	species	NC_018485.1
2207	Methanosarcina	188937	Methanosarcina acetivorans C2A	no rank	NC_003552.1
848	Fusobacterium	190304	Fusobacterium nucleatum subsp nucleatum ATCC 25586	no rank	NC_003454.1
256319	Chlorobaculum	194439	Chlorobium tepidum TLS	no rank	NC_002932.3
1839	Nocardioides	196162	Nocardioides sp JS614	species	NC_008699.1
316625	Saccharophagus	203122	Saccharophagus degradans 2-40	no rank	NC_007912.1
1205	Trichodesmium	203124	Trichodesmium erythraeum IMS101	no rank	NC_008312.1
195950	Tannerella	203275	Tannerella forsythia ATCC 43037	no rank	NC_016610.1
658061	Candidatus Koribacter	204669	Candidatus Koribacter versatilis Ellin345	no rank	NC_008009.1
629	Yersinia	214092	Yersinia pestis CO92	no rank	NC_003143.1
216431	Croceibacter	216432	Croceibacter atlanticus HTCC2559	no rank	NC_014230.1
662	Vibrio	216895	Vibrio vulnificus CMCP6	no rank	"NC_004459.3,NC_004460.2"
2233	Archaeoglobus	224325	Archaeoglobus fulgidus DSM 4304	no rank	NC_000917.1
776	Coxiella	227377	Coxiella burnetii RSA 493	no rank	NC_002971.3
85	Hyphomonas	228405	Hyphomonas neptunium ATCC 15444	no rank	NC_008358.1
332162	Candidatus Solibacter	234267	Candidatus Solibacter usitatus Ellin6076	no rank	NC_008536.1
33973	Acidobacterium	240015	Acidobacterium capsulatum ATCC 51196	no rank	NC_012483.1
2735	Verrucomicrobium	240016	Verrucomicrobium spinosum DSM 4136  JCM 18804	no rank	NZ_ABIZ01000001.1
413	Methylococcus	243233	Methylococcus capsulatus str Bath	no rank	NC_002977.6
535	Chromobacterium	243365	Chromobacterium violaceum ATCC 12472	no rank	NC_005085.1
838	Prevotella	246198	Prevotella intermedia 17	no rank	"NC_017860.1,NC_017861.1"
33071	Gloeobacter	251221	Gloeobacter violaceus PCC 7421	no rank	NC_005125.1
270	Thermus	262724	Thermus thermophilus HB27	no rank	NC_005835.1
84593	Verrucosispora	263358	Verrucosispora maris AB-18-032	no rank	NC_015434.1
106589	Cupriavidus	264198	Ralstonia eutropha JMP134	no rank	"NC_007347.1,NC_007348.1"
44260	Moorella	264732	Moorella thermoacetica ATCC 39073	no rank	NC_007644.1
404	Methylobacillus	265072	Methylobacillus flagellatus KT	no rank	NC_007947.1
42255	Rubrobacter	266117	Rubrobacter xylanophilus DSM 9941	no rank	NC_008148.1
449972	Chelativorans	266779	Chelativorans sp BNC1	species	NC_008254.1
33981	Kineococcus	266940	Kineococcus radiotolerans SRS30216  ATCC BAA-149	no rank	NC_009664.2
1129	Synechococcus	269084	Synechococcus elongatus PCC 6301	no rank	NC_006576.1
978	Cytophaga	269798	Cytophaga hutchinsonii ATCC 33406	no rank	NC_008255.1
89583	Gluconacetobacter	272568	Gluconacetobacter diazotrophicus PA1 5	no rank	NC_010125.1
1091	Chlorobium	290318	Chlorobium phaeovibrioides DSM 265	no rank	NC_009337.1
188905	Jannaschia	290400	Jannaschia sp CCS1	species	NC_007802.1
97050	Ruegeria	292414	Ruegeria sp TM1040	species	NC_008044.1
919	Thiobacillus	292415	Thiobacillus denitrificans ATCC 25259	no rank	NC_007404.1
2733	Symbiobacterium	292459	Symbiobacterium thermophilum IAM 14863	no rank	NC_006177.1
570266	Methanocella	304371	Methanocella paludicola SANAE	no rank	NC_013665.1
499	Thermomicrobium	309801	Thermomicrobium roseum DSM 5159	no rank	NC_011959.1
61434	Dehalococcoides	311424	Dehalococcoides mccartyi VS	no rank	NC_013552.1
83612	Psychroflexus	313595	Psychroflexus torquis ATCC 700755	no rank	NC_018721.1
252306	Robiginitalea	313596	Robiginitalea biformata HTCC2501	no rank	NC_013222.1
52959	Polaribacter	313598	Polaribacter sp MED152	species	NC_020830.1
252356	Maribacter	313603	Maribacter sp HTCC2170	species	NC_014472.1
